1,6 - 芳 基 嘌 呤 衍 生 物 的 合 成,"本 文 以 6 - 氯 嘌 呤 为 原 料 , 经 过 9 位 烷 基 化 反 应 得 到 9 - 取 代 - 6 - 氯 嘌 呤 , 进 一 步 利 用 芳 胺 类 化 合 物 取 代 嘌 呤 6 位 氯 原 子 , 成 功 探 索 出 一 条 简 洁 、 高 效 合 成 6 - 芳 基 嘌 呤 衍 生 物 的 路 线 , 并 利 用 该 方 法 制 备 了 1 1 个 6 - 芳 基 嘌 呤 衍 生 物 , 表 明 该 路 线 具 有 良 好 的 官 能 团 耐 受 性 , 所 得 关 键 中 间 体 和 产 物 结 构 经 1 、 1 3 及 确 证 。"
0,分 布 式 视 频 流 存 储 元 数 据 服 务 器 的 设 计 与 实 现,同 时 ， 支 持 系 统 节 点 的 动 态 扩 展 。
1,一 种 二 维 高 分 辨 成 像 声 纳 的 系 统 设 计,"论 文 针 对 利 用 二 维 成 像 声 纳 来 解 决 水 下 目 标 测 量 的 问 题 给 出 了 解 决 方 案 , 设 计 了 测 量 系 统 , 同 时 进 行 了 成 像 声 纳 的 实 验 验 证 , 结 果 表 明 方 案 设 计 合 理 , 成 像 效 果 良 好 。"
0,分 布 式 视 频 流 存 储 元 数 据 服 务 器 的 设 计 与 实 现,针 对 存 储 任 务 的 分 发 ， 目 标 函 数 不 仅 保 证 节 点 的 负 载 均 衡 ， 而 且 让 不 同 节 点 之 间 的 执 行 任 务 数 量 差 值 最 小 ； 针 对 恢 复 任 务 优 先 级 的 制 定 ， 目 标 函 数 优 先 选 择 数 据 冗 余 率 低 、 丢 失 率 高 、 视 频 剩 余 有 效 时 间 长 的 卷 ， 提 高 系 统 的 可 靠 性 。
1,一 种 双 驱 联 动 数 控 钻 床 系 统 设 计,"本 文 设 计 了 一 种 带 有 简 单 数 控 功 能 的 , 可 由 用 户 自 主 选 择 、 设 定 钻 头 转 速 和 进 给 速 度 , 自 动 加 工 模 式 的 数 控 钻 床 。"
0,分 布 式 视 频 流 存 储 元 数 据 服 务 器 的 设 计 与 实 现,通 过 对 分 布 式 视 频 流 存 储 系 统 进 行 功 能 和 性 能 测 试 ， 元 数 据 服 务 器 达 到 了 对 视 频 流 数 据 存 储 、 读 取 和 恢 复 等 功 能 的 控 制 管 理 需 求 ； 另 外 ， 存 储 任 务 和 恢 复 任 务 的 调 度 策 略 ， 不 仅 降 低 了 存 储 节 点 的 负 载 失 衡 机 率 ， 而 且 延 迟 了 低 效 恢 复 任 务 的 执 行 ， 提 高 了 系 统 恢 复 数 据 的 后 期 使 用 价 值 。
1,一 种 土 壤 排 放 气 体 采 集 系 统 设 计,"从 农 田 、 草 地 、 森 林 等 土 壤 排 放 气 体 的 研 究 实 际 出 发 , 为 便 捷 、 准 确 地 得 到 土 壤 排 放 气 体 信 息 , 设 计 了 一 种 土 壤 排 放 气 体 采 集 系 统 。"
0,分 布 式 视 频 流 存 储 容 错 系 统 的 设 计 与 实 现,分 布 式 存 储 系 统 能 够 很 好 的 满 足 这 一 需 求 ， 而 且 由 于 故 障 发 生 的 可 能 性 ， 容 错 必 须 体 现 在 系 统 的 设 计 中 。
1,一 种 基 于 深 度 学 习 的 双 随 机 相 位 - 振 幅 加 密 图 像 重 建 方 法,"针 对 基 于 双 随 机 相 位 振 幅 编 码 技 术 的 加 密 系 统 , 提 出 了 一 种 基 于 网 络 的 已 知 明 文 攻 击 算 法 。"
0,分 布 式 视 频 流 存 储 容 错 系 统 的 设 计 与 实 现,对 比 国 内 外 典 型 的 分 布 式 存 储 系 统 架 构 ， 不 难 发 现 系 统 可 用 性 、 数 据 可 靠 性 与 一 致 性 、 系 统 高 效 性 ， 往 往 是 此 类 系 统 所 要 解 决 的 问 题 。
